Event_date_dt,Event ID,Event Date,Source Name,Source Sectors,Source Country,Event Text,CAMEO_code,Intensity,Target Name,Target Sectors,Target Country,Story ID,Sentence Number,Publisher,City,District,Province,Country,Latitude,Longitude,Event_date_dt,CAMEO_case,case_clean,points
2013-06-12,20106347,2013-06-12,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27209274,1,Al Arabiya,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-12,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-12,20107193,2013-06-12,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27211004,6,The Wall Street Journal,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-12,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-12,20107281,2013-06-12,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Military Personnel - Special (Turkey),"Government,Military",Turkey,27211146,2,The Wall Street Journal Europe,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-12,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-12,20107282,2013-06-12,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27211146,4,The Wall Street Journal Europe,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-12,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-12,20107353,2013-06-12,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27211301,4,Irish Times,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-12,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-12,20107453,2013-06-12,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27211747,2,Guardian Unlimited,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-12,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-12,20107689,2013-06-12,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27213526,5,The Australian,Gezi Park,,Istanbul,Turkey,41.0385,28.9869,2013-06-12,Protest violently,Protest violently  riot  not specified below,POINT (28.9869 41.0385)
2013-06-13,20109633,2013-06-13,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27192271,1,Turan Information Agency (Azerbaijan),Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-13,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-13,20109926,2013-06-13,Citizen (Turkey),"General Population / Civilian / Social,Social",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27203032,4,Al Arabiya,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-13,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-13,20111500,2013-06-13,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27206068,6,Xinhua News Agency,Gezi Park,,Istanbul,Turkey,41.0385,28.9869,2013-06-13,Protest violently,Protest violently  riot  not specified below,POINT (28.9869 41.0385)
